Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Speed,Avg Moving Speed,Max Speed,Avg HR,Max HR,Avg Bike Cadence,Max Bike Cadence,Normalized Power,Avg Power,Max Power,Avg Temperature,Calories
1,00:09:59.865,00:09:59.865,5,--,--,30.01,30.01,32.45,114.0,125.0,70.0,75.0,126.0,113.0,154.0,32,82
2,00:09:40.974,00:09:40.974,5,--,--,30.98,30.98,32.21,114.0,126.0,71.0,74.0,130.0,131.0,159.0,30,90
3,00:09:45.785,00:09:45.785,5,--,--,30.73,30.73,31.81,117.0,122.0,70.0,74.0,130.0,130.0,155.0,30,90
4,00:04:06.578,00:04:06.000,2.13,--,--,31.15,31.23,32.04,115.0,121.0,71.0,74.0,131.0,131.0,150.0,29,38
Summary,00:33:33.202,00:33:32.624,17.13,--,--,30.64,30.65,32.45,115.0,126.0,70.0,75.0,129.0,125.0,159.0,30.47,300
