Split,Swim Stroke,Lengths,Distance,Time,Avg Pace,Best Pace,Avg SWOLF,Avg HR,Max HR,Total Strokes,Avg Strokes,Calories
2.49,FREESTYLE,1,25,00:00:34.937,2:20,2:20,49.0,136.0,139.0,14,--,5
2.50,FREESTYLE,1,25,00:00:36.750,2:27,2:27,53.0,133.0,137.0,16,--,5
2.51,FREESTYLE,1,25,00:00:38.062,2:32,2:32,52.0,134.0,135.0,14,--,5
2.52,FREESTYLE,1,25,00:00:37.125,2:28,2:28,52.0,136.0,139.0,15,--,5
2.53,FREESTYLE,1,25,00:00:34.250,2:17,2:17,48.0,134.0,136.0,14,--,5
2.54,FREESTYLE,1,25,00:00:20.937,1:24,1:24,30.0,135.0,137.0,9,--,5
2.55,FREESTYLE,1,25,00:00:16.937,1:08,1:08,23.0,136.0,138.0,6,--,5
2.56,FREESTYLE,1,25,00:00:36.750,2:27,2:27,52.0,135.0,138.0,15,--,5
2.57,FREESTYLE,1,25,00:00:35.250,2:21,2:21,49.0,131.0,135.0,14,--,5
2.58,FREESTYLE,1,25,00:00:39.250,2:37,2:37,55.0,129.0,132.0,16,--,5
2.59,FREESTYLE,1,25,00:00:39.500,2:38,2:38,55.0,130.0,133.0,15,--,5
2.60,FREESTYLE,1,25,00:00:37.437,2:30,2:30,51.0,128.0,132.0,14,--,5
2.61,FREESTYLE,1,25,00:00:38.062,2:32,2:32,54.0,129.0,131.0,16,--,5
2.62,FREESTYLE,1,25,00:00:37.562,2:30,2:30,52.0,127.0,130.0,14,--,5
2.63,FREESTYLE,1,25,00:00:40.687,2:43,2:43,56.0,124.0,127.0,15,--,5
2.64,FREESTYLE,1,25,00:00:31.473,2:06,2:06,44.0,127.0,129.0,13,--,5
Summary,,76,1850,00:43:43.589,2:16,1:07,48.0,132.0,146.0,1011,13.699999809265137,370
