Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:54:46.964,00:23:43.781,--,--,--,--,--,--,--,--,--,106.0,134.0,28.39,326
Summary,00:54:46.964,00:23:43.781,--,--,--,--,--,--,--,--,--,106.0,134.0,28.39,326
